"prior","mean","median","variance","sd","skewness","excess_kurtosis","q025","q975","extreme","count_variance_N20"
"alpha ~ Normal(0, 0.5)",0.5,0.5,0.0139555775601203,0.118133727445299,2.66869854845823e-16,-0.368674673368705,0.272895356800724,0.727104643199276,3.91966939587895e-20,10.3031194728457
"alpha ~ Normal(0, 1)",0.5,0.5,0.043379035858093,0.208276344931663,-1.55433221971135e-16,-0.86061960181828,0.123470945316888,0.876529054683112,4.32500608165823e-06,21.4840336260753
"alpha ~ Normal(0, 2.5)",0.5,0.5,0.118924915575802,0.344854919605045,1.74026334221877e-17,-1.49920814779284,0.0073922019787351,0.992607798021265,0.0660553414336157,50.1914679188047
"alpha ~ Normal(0, 10)",0.5,0.5,0.210740439890636,0.459064744769881,4.61407367702724e-17,-1.8859455618668,3.07598750170367e-09,0.999999996924013,0.645866547488325,85.0813671584417
"alpha ~ Normal(logit(0.1), 1)",0.133869657467587,0.1,0.012662275872613,0.112526778469007,1.71408325740159,3.62549623330412,0.0154103049656351,0.440961544600933,0.00824478951896726,7.13063627713488
"p0 ~ Beta(1, 1)",0.5,0.5,0.0833333333333333,0.288675134594813,0,-1.2,0.025,0.975,0.02,36.6666666666667
"p0 ~ Beta(2, 2)",0.5,0.5,0.05,0.223606797749979,0,-0.857142857142857,0.0942993240502461,0.905700675949754,0.000596,24
"p0 ~ Beta(2, 18)",0.1,0.0867751636556949,0.00428571428571429,0.0654653670707977,1.11092744120142,1.5098814229249,0.0130121643717775,0.260280654195214,0.0152737614888966,3.42857142857143
