"sigma_beta","x","mean","median","variance","sd","skewness","excess_kurtosis","q025","q975","extreme"
0.25,0,0.10892365008106,0.1,0.00239867473577701,0.0489762670665804,1.14411149880411,2.03785375444553,0.0400325474955933,0.228422068381734,8.1017261167806e-07
0.25,1,0.111120162405562,0.1,0.00310464204144784,0.0557193147970059,1.25509626720446,2.40529767750085,0.0358163340678921,0.249445576877086,8.95437657945732e-06
0.25,2,0.117596601049799,0.1,0.00543059928868841,0.0736925999588046,1.48495737094819,3.16859599289557,0.0270372987004918,0.307609122676167,0.000348017743118524
0.5,0,0.10892365008106,0.1,0.00239867473577701,0.0489762670665804,1.14411149880411,2.03785375444553,0.0400325474955933,0.228422068381734,8.1017261167806e-07
0.5,1,0.117596601049799,0.1,0.00543059928868841,0.0736925999588046,1.48495737094819,3.16859599289557,0.0270372987004918,0.307609122676167,0.000348017743118524
0.5,2,0.141419179227873,0.1,0.0165690864022383,0.128720963336351,1.73508944125836,3.4708186278013,0.0122666214793891,0.498520447844798,0.0159867117078759
1,0,0.10892365008106,0.1,0.00239867473577701,0.0489762670665804,1.14411149880411,2.03785375444553,0.0400325474955933,0.228422068381734,8.1017261167806e-07
1,1,0.141419179227873,0.1,0.0165690864022383,0.128720963336351,1.73508944125836,3.4708186278013,0.0122666214793891,0.498520447844798,0.0159867117078759
1,2,0.207479718587677,0.1,0.0592101281948196,0.243331313633942,1.40785569566722,1.03406113186962,0.00195035065842904,0.86334379778476,0.122876822279395
2,0,0.10892365008106,0.1,0.00239867473577701,0.0489762670665804,1.14411149880411,2.03785375444553,0.0400325474955933,0.228422068381734,8.1017261167806e-07
2,1,0.207479718587677,0.1,0.0592101281948196,0.243331313633942,1.40785569566722,1.03406113186962,0.00195035065842904,0.86334379778476,0.122876822279395
2,2,0.308959932806117,0.1,0.133577362151373,0.365482369138886,0.825926390297864,-0.948527678032236,4.11563164323755e-05,0.996677278447349,0.321970537176827
